Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk▼,Comb,Solo,Ast,TFL,QBHits,Sfty
Lavonte David,TAM,33,LB,15,15,0.00,0.00,0.00,0,0.33,0.07,0.00,0,0,0,0.30,8.93,5.73,3.20,1.13,0.33,
Ernest Jones,LAR,24,LB,15,15,0.00,0.00,0.00,0,0.40,,,,,0,0.30,9.67,4.93,4.73,0.93,0.40,
Jordyn Brooks,SEA,26,RILB,16,16,0.06,0.75,0.06,12,0.25,0.06,0.00,1,8,0,0.28,6.94,3.88,3.06,0.50,0.31,
Ja'Whaun Bentley,NWE,27,LB,16,16,0.00,0.00,0.00,0,0.19,0.06,0.00,0,0,0,0.28,7.13,3.44,3.69,0.31,0.75,
Drue Tranquill,KAN,28,LB,16,8,0.00,0.00,0.00,0,0.06,0.13,0.00,0,0,0,0.28,4.88,3.31,1.56,0.44,0.44,
Tuli Tuipulotu,LAC,21,OLB,17,11,0.00,0.00,0.00,0,0.06,0.12,0.00,1,0,0,0.26,3.12,2.18,0.94,0.47,0.71,
Shaquil Barrett,TAM,31,LOLB,16,16,0.06,0.25,0.06,4,0.13,0.19,0.00,0,0,0,0.28,3.25,2.06,1.19,0.19,0.56,
Dexter Lawrence*,NYG,26,DL,16,16,0.00,0.00,0.00,0,0.13,,,,,0,0.28,3.31,2.00,1.31,0.44,1.31,
Justin Jones,CHI,27,RDT,17,17,0.00,0.00,0.00,0,0.24,,,,,0,0.26,2.88,1.71,1.18,0.59,1.00,
B.J. Hill,CIN,28,DT,17,17,0.12,0.00,0.00,0,0.29,0.00,0.00,1,0,0,0.26,3.00,1.53,1.47,0.12,1.24,
Dre'Mont Jones,SEA,26,DE,17,16,,,0.00,,,,,,,0,0.26,2.88,1.53,1.35,0.29,0.71,
Ogbonnia Okoronkwo,CLE,28,DE,14,0,0.00,0.00,0.00,0,0.07,0.00,0.00,1,0,0,0.32,2.21,1.57,0.64,0.86,0.57,
Deatrich Wise Jr.,NWE,29,DL,16,13,0.00,0.00,0.00,0,0.06,0.06,0.00,0,0,0,0.28,3.38,1.38,2.00,0.19,0.38,
Baron Browning,DEN,24,OLB,10,9,0.00,0.00,0.00,0,0.20,0.20,0.00,0,0,0,0.45,2.50,1.90,0.60,0.40,0.90,
Yetur Gross-Matos,CAR,25,DE,12,6,,,0.00,,,,,,,0,0.38,3.00,1.58,1.42,0.58,0.83,
Sam Williams,DAL,24,DE,17,0,,,0.00,,,0.06,0.00,0,0,0,0.26,1.53,0.88,0.65,0.29,0.41,0.06
Bryan Bresee,NOR,22,DT,17,0,0.00,0.00,0.00,0,0.35,,,,,0,0.26,1.41,0.71,0.71,0.41,0.53,
Kaden Elliss,ATL,28,LB,17,17,0.00,0.00,0.00,0,0.18,,,,,0,0.24,7.18,4.82,2.35,0.65,0.35,
Daron Payne,WAS,26,DT,17,17,0.00,0.00,0.00,0,0.24,0.12,0.00,2,0,0,0.24,3.12,1.88,1.24,0.76,0.65,
DeMarcus Lawrence*,DAL,31,DE,17,17,0.00,0.00,0.00,0,0.35,0.06,0.00,0,0,0,0.24,2.94,1.71,1.24,0.59,0.47,
David Onyemata,ATL,31,DL,14,14,0.00,0.00,0.00,0,0.21,0.14,0.00,0,0,0,0.29,3.57,1.79,1.79,0.43,1.14,
Lukas Van Ness,GNB,22,LB,17,0,0.00,0.00,0.00,0,0.06,,,,,0,0.24,1.88,1.41,0.47,0.47,0.59,
BJ Ojulari,ARI,21,OLB,17,0,0.00,0.00,0.00,0,0.06,,,,,0,0.24,2.35,1.35,1.00,0.29,0.35,
