Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk▼,Comb,Solo,Ast,TFL,QBHits,Sfty
Zach VanValkenburg,LAR,25,OLB,9,0,,,0.00,,,,,,,0,0.11,1.00,0.44,0.56,0.11,0.22,
Carlos Watkins,ARI,30,DT,2,1,0.00,0.00,0.00,0,0.50,,,,,0,0.50,3.50,2.00,1.50,0.50,0.50,
Markees Watts,TAM,24,OLB,7,0,,,0.00,,,,,,,0,0.14,0.57,0.57,0.00,0.14,0.14,
Al Woods,NYJ,36,DL,6,0,,,0.00,,,,,,,0,0.17,1.00,0.67,0.33,0.33,0.33,
Jalyn Holmes,NYJ,27,DL,5,0,,,0.00,,,,,,,0,0.20,1.00,0.60,0.40,0.20,0.20,
Kerry Hyder,2TM,32,DE,6,0,,,0.00,,,,,,,0,0.17,0.50,0.50,0.00,0.33,0.17,
Myles Adams,SEA,25,DT,11,1,,,0.00,,,,,,,0,0.09,0.55,0.18,0.36,0.09,0.09,
Robert Beal,SFO,24,DL,4,0,,,0.00,,,,,,,0,0.25,1.25,0.50,0.75,0.25,0.25,
Isaiah Land,IND,23,LB,7,0,,,0.00,,,,,,,0,0.14,0.86,0.29,0.57,0.00,0.14,
Kalia Davis,SFO,25,DL,3,0,,,0.00,,,,,,,0,0.33,0.33,0.33,0.00,0.33,0.33,
Elijah Garcia,DEN,25,DL,3,0,,,0.00,,,0.33,0.00,0,0,0,0.33,1.33,0.33,1.00,0.00,0.33,
Trevis Gipson,TEN,26,OLB,8,0,,,0.00,,,0.13,0.00,0,0,0,0.13,0.75,0.13,0.63,0.00,0.00,
Bruce Irvin,DET,36,LB,2,0,,,0.00,,,,,,,0,0.50,0.50,0.50,0.00,0.50,1.00,
Camryn Bynum,MIN,25,S,17,17,0.12,0.00,0.00,0,0.53,0.18,0.00,0,0,0,0.03,8.06,5.53,2.53,0.12,0.06,
C.J. Mosley,NYJ,31,LB,17,17,0.06,0.00,0.00,0,0.41,0.12,0.00,1,0,0,0.03,8.94,4.76,4.18,0.29,0.12,
Xavier McKinney,NYG,24,FS,17,17,0.18,1.29,0.00,18,0.65,0.06,0.00,2,7,0,0.03,6.82,4.59,2.24,0.12,0.06,
Jordan Whitehead,NYJ,26,SS,17,17,0.24,0.35,0.00,6,0.53,,,,,0,0.03,5.71,3.82,1.88,0.18,0.06,
Pete Werner,NOR,24,LB,16,16,0.06,0.00,0.00,0,0.06,0.00,0.00,2,3,0,0.03,5.81,3.75,2.06,0.25,0.06,
Keisean Nixon+,GNB,26,CB,17,13,0.06,0.12,0.00,2,0.35,0.00,0.18,2,0,0,0.03,4.71,3.47,1.24,0.18,0.06,
Isaiah McDuffie,GNB,24,LB,16,8,0.00,0.00,0.00,0,0.06,,,,,0,0.03,5.38,3.50,1.88,0.31,0.19,
Denzel Perryman,HOU,31,LB,12,11,0.00,0.00,0.00,0,0.25,,,,,0,0.04,6.33,3.75,2.58,0.50,0.17,
Andre Cisco,JAX,23,S,15,15,0.27,4.53,0.00,29,0.33,0.07,0.07,0,0,0,0.03,4.13,2.80,1.33,0.07,0.07,
Eli Apple,MIA,28,CB,10,4,0.10,0.80,0.00,8,0.90,,,,,0,0.05,4.60,3.70,0.90,0.00,0.10,
Greg Newsome II,CLE,23,CB,14,13,0.14,2.43,0.07,34,1.00,,,,,0,0.04,3.50,2.43,1.07,0.29,0.07,
Taylor Rapp,BUF,26,S,16,4,0.06,0.00,0.00,0,0.13,0.00,0.00,1,6,0,0.03,3.13,2.06,1.06,0.06,0.06,
Josh Woods,ARI,27,LB,11,7,0.00,0.00,0.00,0,0.09,0.09,0.00,0,0,0,0.05,5.55,3.00,2.55,0.18,0.09,
Duke Riley,MIA,29,LB,17,5,0.00,0.00,0.00,0,0.06,0.06,0.00,0,0,0,0.03,2.47,1.76,0.71,0.00,0.12,
Grover Stewart,IND,30,DT,11,11,,,0.00,,,,,,,0,0.05,3.73,2.09,1.64,0.45,0.73,
Nakobe Dean,PHI,23,LB,5,4,,,0.00,,,,,,,0,0.10,6.00,4.40,1.60,0.40,0.20,
Milton Williams,PHI,24,DT,16,10,0.00,0.00,0.00,0,0.06,0.06,0.00,0,0,0,0.03,2.63,1.31,1.31,0.19,0.44,
Shy Tuttle,CAR,28,DT,17,17,0.00,0.00,0.00,0,0.29,,,,,0,0.03,2.53,1.12,1.41,0.06,0.06,
Bobby Brown,LAR,23,NT,13,13,,,0.00,,,,,,,0,0.04,2.38,1.23,1.15,0.31,0.08,
Justin Bethel,MIA,33,CB,17,1,0.00,0.00,0.00,0,0.06,,,,,0,0.03,1.12,0.88,0.24,0.12,0.06,
Raekwon Davis,MIA,26,DT,17,7,,,0.00,,,,,,,0,0.03,1.65,0.88,0.76,0.12,0.35,
Micheal Clemons,NYJ,26,DL,16,1,,,0.00,,,0.06,0.00,0,0,0,0.03,1.69,0.88,0.81,0.13,0.06,
Rakeem Nunez-Roches,NYG,30,DL,16,4,0.00,0.00,0.00,0,0.06,,,,,0,0.03,1.63,0.88,0.75,0.06,0.06,
Logan Hall,TAM,23,DL,16,13,0.00,0.00,0.00,0,0.13,0.00,0.00,2,0,0,0.03,1.38,0.69,0.69,0.13,0.06,
Kurt Hinish,HOU,24,DT,17,1,0.00,0.00,0.00,0,0.06,,,,,0,0.03,1.29,0.65,0.65,0.12,0.12,
Colby Wooden,GNB,23,DL,17,0,,,0.00,,,,,,,0,0.03,1.00,0.59,0.41,0.06,0.12,
Zacch Pickens,CHI,23,DL,17,0,0.00,0.00,0.00,0,0.06,0.06,0.00,0,0,0,0.03,1.18,0.53,0.65,0.06,0.12,
Felix Anudike-Uzomah,KAN,21,DE,17,0,,,0.00,,,0.06,0.00,0,0,0,0.03,0.82,0.47,0.35,0.12,0.41,
Troy Andersen,ATL,24,LB,2,2,,,0.00,,,,,,,0,0.25,9.50,3.50,6.00,0.50,0.50,
D.J. Davidson,NYG,26,DL,15,2,0.00,0.00,0.00,0,0.13,,,,,0,0.03,0.87,0.40,0.47,0.07,0.07,
Armon Watts,PIT,27,DT,15,0,,,0.00,,,,,,,0,0.03,1.00,0.40,0.60,0.00,0.20,
Abdullah Anderson,WAS,27,DL,7,0,,,0.00,,,0.00,0.00,1,0,0,0.07,1.14,0.71,0.43,0.14,0.14,
Justin Houston,CAR,34,ROLB,7,7,0.00,0.00,0.00,0,0.14,,,,,0,0.07,1.29,0.71,0.57,0.29,0.43,
Dominique Robinson,CHI,25,DL,11,0,0.00,0.00,0.00,0,0.09,,,,,0,0.05,1.09,0.45,0.64,0.09,0.09,
Jessie Bates III*,ATL,26,S,17,17,0.35,5.59,0.06,92,0.65,0.18,0.00,0,0,0,0.00,7.76,5.24,2.53,0.18,0.06,
Julian Love*,SEA,25,S,17,12,0.24,0.41,0.00,7,0.59,0.12,0.00,1,3,0,0.00,7.24,5.00,2.24,0.06,0.00,
Kevin Byard,2TM,30,S-SS,16,16,0.06,0.00,0.00,0,0.19,0.00,0.00,1,0,0,0.00,7.63,5.00,2.63,0.00,0.00,
Reed Blankenship,PHI,24,S,15,15,0.20,1.13,0.00,17,0.73,0.00,0.00,1,0,0,0.00,7.53,5.27,2.27,0.13,0.07,
Devin Lloyd,JAX,25,LB,15,15,0.00,0.00,0.00,0,0.47,0.00,0.00,2,13,0,0.00,8.47,5.00,3.47,0.13,0.07,
Damone Clark,DAL,23,LB,17,17,0.00,0.00,0.00,0,0.18,0.00,0.00,1,0,0,0.00,6.41,4.12,2.29,0.24,0.18,
Tremaine Edmunds,CHI,25,LB,15,15,0.27,4.07,0.07,45,0.47,0.07,0.00,1,0,0,0.00,7.53,4.60,2.93,0.33,0.00,
Amani Hooker,TEN,25,DB,13,13,0.08,0.77,0.00,10,0.54,0.08,0.00,1,0,0,0.00,6.54,5.31,1.23,0.23,0.00,
Kerby Joseph,DET,23,S,15,15,0.27,2.47,0.00,22,0.73,,,,,0,0.00,5.47,4.60,0.87,0.07,0.00,
Cody Barton,WAS,27,LB,13,13,0.08,4.00,0.00,52,0.08,0.00,0.00,1,5,0,0.00,9.31,5.15,4.15,0.23,0.15,
Julian Blackmon,IND,25,S,15,15,0.27,2.53,0.00,25,0.53,0.00,0.07,2,2,0,0.00,5.87,4.33,1.53,0.33,0.07,
Tyrique Stevenson,CHI,23,DB,16,16,0.25,2.81,0.00,34,1.00,0.13,0.00,0,0,0,0.00,5.38,4.06,1.31,0.06,0.00,
Quandre Diggs,SEA,30,FS,17,17,0.06,1.24,0.00,21,0.29,,,,,0,0.00,5.59,3.71,1.88,0.06,0.00,
D.J. Reed,NYJ,27,CB,15,15,0.07,0.00,0.00,0,0.60,0.07,0.00,0,0,0,0.00,5.07,4.13,0.93,0.13,0.00,
K'Von Wallace,2TM,26,FS-S-SS,17,12,0.06,0.12,0.00,2,0.35,,,,,0,0.00,5.24,3.65,1.59,0.06,0.06,
Jordan Fuller,LAR,25,DB,17,17,0.18,2.29,0.00,21,0.47,0.18,0.00,0,0,0,0.00,5.53,3.59,1.94,0.06,0.00,
Paulson Adebo,NOR,24,CB,15,15,0.27,2.13,0.00,27,1.20,0.13,0.00,2,0,0,0.00,5.07,4.00,1.07,0.00,0.00,
Markquese Bell,DAL,24,S,17,8,0.00,0.00,0.00,0,0.24,0.12,0.00,0,0,0,0.00,5.53,3.53,2.00,0.18,0.00,
L'Jarius Sneed,KAN,26,CB,16,16,0.13,0.25,0.00,4,0.88,0.00,0.00,1,0,0,0.00,4.88,3.75,1.13,0.31,0.19,
Patrick Surtain II*,DEN,23,CB,17,17,0.06,0.00,0.00,0,0.71,,,,,0,0.00,4.06,3.47,0.59,0.00,0.00,
Budda Baker*,ARI,27,S,12,12,,,0.00,,,,,,,0,0.00,7.25,4.83,2.42,0.42,0.00,
Deommodore Lenoir,SFO,24,DB,17,17,0.18,2.88,0.00,28,0.59,,,,,0,0.00,4.94,3.41,1.53,0.06,0.00,
Jalen Pitre,HOU,24,S,15,15,0.00,0.00,0.00,0,0.33,0.07,0.00,1,22,0,0.00,5.60,3.87,1.73,0.40,0.13,
Brandon Stephens,BAL,26,DB,16,16,0.13,3.50,0.00,52,0.69,,,,,0,0.00,4.63,3.56,1.06,0.13,0.00,
Asante Samuel Jr.,LAC,24,CB,17,16,0.12,0.47,0.00,8,0.76,,,,,0,0.00,3.71,3.29,0.41,0.06,0.00,
Charvarius Ward*,SFO,27,CB,17,17,0.29,5.35,0.06,66,1.35,0.06,0.00,0,0,0,0.00,4.24,3.29,0.94,0.12,0.00,
Kendall Fuller,WAS,28,CB,15,15,0.13,1.53,0.00,23,0.60,0.00,0.00,2,-1,0,0.00,5.27,3.67,1.60,0.13,0.00,
Donovan Wilson,DAL,28,S,15,13,0.13,0.00,0.00,0,0.20,0.07,0.00,2,0,0,0.00,5.87,3.67,2.20,0.13,0.07,
Tony Adams,NYJ,24,S,15,15,0.20,3.33,0.00,45,0.33,,,,,0,0.00,5.47,3.60,1.87,0.40,0.00,
Zach Cunningham,PHI,29,LB,13,10,0.00,0.00,0.00,0,0.31,0.00,0.00,1,0,0,0.00,6.54,4.15,2.38,0.15,0.08,
Stephon Gilmore,DAL,33,CB,17,17,0.12,0.00,0.00,0,0.76,0.06,0.00,0,0,0,0.00,4.00,3.18,0.82,0.00,0.00,
Deonte Banks,NYG,22,CB,15,15,0.13,0.40,0.00,6,0.73,,,,,0,0.00,4.27,3.53,0.73,0.13,0.00,
DaRon Bland*+,DAL,24,CB,17,15,0.53,12.3,0.29,63,0.88,,,,,0,0.00,4.06,3.12,0.94,0.18,0.06,
DeShon Elliott,MIA,26,S,15,15,0.07,0.00,0.00,0,0.47,0.00,0.00,1,0,0,0.00,5.47,3.53,1.93,0.07,0.00,
Michael Davis,LAC,28,CB,17,13,0.06,0.00,0.00,0,0.59,,,,,0,0.00,3.65,3.06,0.59,0.18,0.00,
Jevon Holland,MIA,23,S,12,12,0.08,8.25,0.08,99,0.33,0.25,0.00,1,4,0,0.00,6.17,4.33,1.83,0.25,0.00,
Ryan Neal,TAM,28,S,15,13,,,0.00,,,,,,,0,0.00,5.07,3.47,1.60,0.27,0.00,
Tyrann Mathieu,NOR,31,S,17,17,0.24,7.18,0.06,74,0.53,,,,,0,0.00,4.41,2.94,1.47,0.00,0.06,
Cameron Sutton,DET,28,CB,17,17,0.06,1.35,0.00,23,0.35,0.06,0.00,0,0,0,0.00,3.82,2.94,0.88,0.24,0.00,
Akayleb Evans,MIN,24,CB,15,15,0.07,0.07,0.00,1,0.47,0.20,0.00,0,0,0,0.00,4.33,3.27,1.07,0.00,0.00,
Alohi Gilman,LAC,26,S,14,14,0.14,0.00,0.00,0,0.71,0.21,0.00,2,52,0,0.00,5.21,3.50,1.71,0.14,0.00,
Adoree' Jackson,NYG,28,CB,14,14,0.07,5.43,0.07,76,0.57,0.07,0.00,0,0,0,0.00,4.50,3.50,1.00,0.00,0.00,
Donte Jackson,CAR,28,CB,16,16,0.00,0.00,0.00,0,0.31,0.06,0.00,0,0,0,0.00,3.69,3.06,0.63,0.31,0.00,
Jerry Jacobs,DET,26,CB,15,12,0.20,3.00,0.00,20,0.53,,,,,0,0.00,3.67,3.27,0.40,0.13,0.07,
Zyon McCollum,TAM,24,CB,17,9,0.00,0.00,0.00,0,0.53,0.12,0.00,0,0,0,0.00,4.00,2.88,1.12,0.06,0.00,
Steven Nelson,HOU,30,CB,17,16,0.24,1.94,0.00,33,0.71,,,,,0,0.00,3.71,2.82,0.88,0.00,0.00,
Isaiah Oliver,SFO,27,DB,17,6,0.06,0.18,0.00,3,0.12,0.00,0.00,1,0,0,0.00,3.94,2.82,1.12,0.12,0.18,
Christian Rozeboom,LAR,26,LB,17,5,0.06,0.00,0.00,0,0.24,,,,,0,0.00,4.65,2.82,1.82,0.12,0.12,
Darius Slay*,PHI,32,CB,12,12,0.17,7.17,0.08,70,1.17,,,,,0,0.00,4.75,4.00,0.75,0.08,0.00,
Rudy Ford,GNB,29,S,13,9,0.15,2.31,0.00,21,0.46,0.00,0.00,1,0,0,0.00,5.46,3.62,1.85,0.00,0.00,
Christian Izien,TAM,23,S,17,4,0.12,1.06,0.00,14,0.12,0.06,0.00,0,0,0,0.00,3.82,2.76,1.06,0.18,0.12,
Elijah Molden,TEN,24,CB,15,8,0.07,2.93,0.07,44,0.27,0.07,0.00,1,1,0,0.00,4.87,3.13,1.73,0.07,0.00,
De'Vondre Campbell,GNB,30,LILB,11,11,0.00,0.00,0.00,0,0.09,0.00,0.00,1,3,0,0.00,6.82,4.18,2.64,0.27,0.18,
Jamel Dean,TAM,27,CB,13,13,0.00,0.00,0.00,0,0.31,0.00,0.00,2,7,0,0.00,4.69,3.54,1.15,0.00,0.00,
Damontae Kazee,PIT,30,S,14,9,0.14,2.64,0.00,30,0.21,0.00,0.00,2,1,0,0.00,4.36,3.29,1.07,0.00,0.00,
Martin Emerson,CLE,23,CB,16,12,0.25,1.50,0.00,13,0.88,,,,,0,0.00,3.69,2.81,0.88,0.06,0.00,
Geno Stone,BAL,24,SS/FS,17,11,0.41,5.94,0.00,36,0.53,,,,,0,0.00,4.00,2.59,1.41,0.00,0.00,
Darious Williams,JAX,30,LCB,17,17,0.24,4.24,0.06,61,1.12,0.12,0.00,0,0,0,0.00,3.12,2.59,0.53,0.18,0.00,
Chidobe Awuzie,CIN,28,LCB,15,10,0.00,0.00,0.00,0,0.40,0.07,0.00,1,0,0,0.00,3.80,2.87,0.93,0.13,0.00,
Christian Benford,BUF,23,CB,15,14,0.13,0.53,0.00,8,0.67,0.13,0.00,1,0,0,0.00,3.60,2.87,0.73,0.20,0.00,
Minkah Fitzpatrick*,PIT,27,S,10,10,0.00,0.00,0.00,0,0.30,,,,,0,0.00,6.40,4.30,2.10,0.10,0.00,
Byron Murphy,MIN,25,CB,14,14,0.21,4.21,0.00,37,0.93,0.07,0.07,1,0,0,0.00,4.07,3.07,1.00,0.29,0.00,
Ahkello Witherspoon,LAR,28,DB,17,17,0.18,1.00,0.00,17,0.82,0.00,0.00,2,0,0,0.00,3.06,2.53,0.53,0.18,0.00,
Vonn Bell,CAR,29,FS,13,13,0.08,0.85,0.00,11,0.15,,,,,0,0.00,5.31,3.23,2.08,0.00,0.08,
Quentin Lake,LAR,24,DB,14,4,0.00,0.00,0.00,0,0.43,0.00,0.00,1,0,0,0.00,3.79,3.00,0.79,0.07,0.00,
Sean Murphy-Bunting,TEN,26,LCB,14,14,0.14,0.86,0.00,10,0.57,0.14,0.00,1,5,0,0.00,4.07,3.00,1.07,0.21,0.00,
Riq Woolen,SEA,24,CB,16,15,0.13,0.00,0.00,0,0.69,0.00,0.00,2,1,0,0.00,3.31,2.63,0.69,0.06,0.00,
Tyson Campbell,JAX,23,CB,11,11,0.09,0.00,0.00,0,0.45,0.09,0.00,0,0,0,0.00,5.45,3.73,1.73,0.18,0.00,
Marcus Epps,LVR,27,S,17,17,0.00,0.00,0.00,0,0.18,0.06,0.00,1,1,0,0.00,3.88,2.41,1.47,0.24,0.00,
Sauce Gardner*+,NYJ,23,CB,16,16,0.00,0.00,0.00,0,0.69,0.06,0.00,0,0,0,0.00,3.56,2.56,1.00,0.13,0.00,
Derion Kendrick,LAR,23,DB,17,12,0.06,0.00,0.00,0,0.59,,,,,0,0.00,2.88,2.41,0.47,0.18,0.00,
Juan Thornhill,CLE,28,S,11,11,0.00,0.00,0.00,0,0.09,,,,,0,0.00,4.91,3.73,1.18,0.00,0.18,
Marco Wilson,2TM,24,CB-RCB,16,11,0.00,0.00,0.00,0,0.25,,,,,0,0.00,3.31,2.56,0.75,0.00,0.00,
Carlton Davis,TAM,27,RCB,12,12,0.17,0.25,0.00,3,0.75,,,,,0,0.00,4.33,3.33,1.00,0.00,0.00,
Jonathan Jones,NWE,30,DB,14,14,0.00,0.00,0.00,0,0.50,,,,,0,0.00,3.43,2.86,0.57,0.00,0.00,
Cam Taylor-Britt,CIN,24,CB,12,12,0.33,5.42,0.08,30,0.92,0.08,0.00,0,0,0,0.00,4.17,3.33,0.83,0.08,0.00,
James Bradberry,PHI,30,CB,16,16,0.06,0.31,0.00,5,0.81,0.00,0.00,1,1,0,0.00,3.38,2.44,0.94,0.00,0.00,
Talanoa Hufanga,SFO,23,S,10,10,0.30,4.80,0.00,28,0.30,,,,,0,0.00,5.20,3.90,1.30,0.10,0.20,
Marshon Lattimore,NOR,27,CB,10,10,0.10,0.00,0.00,0,0.80,,,,,0,0.00,4.80,3.90,0.90,0.20,0.00,
Xavier Woods,CAR,28,S,14,14,0.14,-0.07,0.00,2,0.50,0.00,0.00,1,5,0,0.00,4.36,2.79,1.57,0.29,0.00,
Nick Bolton,KAN,23,LB,8,8,0.13,0.13,0.00,1,0.38,,,,,0,0.00,7.50,4.75,2.75,0.13,0.13,
Michael Carter,NYJ,24,CB,15,7,0.00,0.00,0.00,0,0.60,0.07,0.00,0,0,0,0.00,3.33,2.47,0.87,0.07,0.07,
Kei'Trel Clark,ARI,22,CB,14,7,0.00,0.00,0.00,0,0.29,,,,,0,0.00,3.07,2.64,0.43,0.14,0.00,
Kristian Fulton,TEN,25,CB,12,11,0.00,0.00,0.00,0,0.42,,,,,0,0.00,3.83,3.08,0.75,0.17,0.00,
Micah Hyde,BUF,33,S,14,14,0.14,1.71,0.00,23,0.50,,,,,0,0.00,3.86,2.64,1.21,0.07,0.07,
Kareem Jackson,2TM,35,S-SS,10,8,0.20,0.50,0.00,5,0.30,,,,,0,0.00,5.30,3.70,1.60,0.00,0.00,
Terell Smith,CHI,24,DB,12,4,0.00,0.00,0.00,0,0.50,0.08,0.00,1,0,0,0.00,4.08,3.08,1.00,0.25,0.00,
Russ Yeast,LAR,24,DB,17,9,0.00,0.00,0.00,0,0.29,,,,,0,0.00,3.59,2.18,1.41,0.00,0.00,
Xavien Howard,MIA,30,LCB,13,13,0.08,0.00,0.00,0,0.92,,,,,0,0.00,3.46,2.77,0.69,0.08,0.08,
Brandon Jones,MIA,25,SS,16,6,0.13,2.50,0.00,40,0.25,0.06,0.00,1,0,0,0.00,3.00,2.25,0.75,0.13,0.06,
Jourdan Lewis,DAL,28,CB,16,8,0.06,0.00,0.00,0,0.31,0.19,0.00,2,0,0,0.00,3.25,2.25,1.00,0.13,0.00,
Darnell Savage Jr.,GNB,26,SS,10,10,0.00,0.00,0.00,0,0.10,,,,,0,0.00,5.10,3.60,1.50,0.10,0.00,
Krys Barnes,ARI,25,LB,16,6,0.06,2.88,0.00,46,0.38,,,,,0,0.00,3.44,2.19,1.25,0.19,0.06,
Percy Butler,WAS,23,S,15,13,0.00,0.00,0.00,0,0.53,0.07,0.00,0,0,0,0.00,4.27,2.33,1.93,0.13,0.00,
Emmanuel Forbes,WAS,22,CB,14,6,0.07,0.21,0.00,3,0.79,0.00,0.07,0,0,0,0.00,2.71,2.50,0.21,0.14,0.00,
Nick Scott,CIN,28,S,17,10,,,0.00,,,0.00,0.00,1,0,0,0.00,3.35,2.06,1.29,0.06,0.06,
Ambry Thomas,SFO,24,CB,15,6,0.07,0.13,0.00,2,0.47,0.07,0.00,1,26,0,0.00,2.87,2.33,0.53,0.00,0.00,
Starling Thomas,ARI,23,CB,12,7,0.00,0.00,0.00,0,0.42,,,,,0,0.00,3.17,2.92,0.25,0.08,0.00,
Henry To'oTo'o,HOU,22,LB,14,6,0.00,0.00,0.00,0,0.14,0.07,0.00,1,0,0,0.00,4.36,2.50,1.86,0.14,0.07,
Marcus Williams,BAL,27,S,11,11,0.09,2.00,0.00,22,0.73,,,,,0,0.00,5.00,3.18,1.82,0.09,0.00,
Andrew Wingard,JAX,27,S,17,2,0.06,0.00,0.00,0,0.12,0.06,0.00,0,0,0,0.00,2.65,2.06,0.59,0.06,0.06,
Jamal Adams,SEA,28,SS,9,9,0.00,0.00,0.00,0,0.22,,,,,0,0.00,5.33,3.78,1.56,0.78,0.22,
Mekhi Blackmon,MIN,24,CB,15,3,0.07,0.00,0.00,0,0.53,0.00,0.00,1,0,0,0.00,2.73,2.27,0.47,0.20,0.00,
Dane Jackson,BUF,27,CB,15,6,0.00,0.00,0.00,0,0.33,0.07,0.00,0,0,0,0.00,2.60,2.27,0.33,0.00,0.00,
Jeff Okudah,ATL,24,RCB,13,9,0.00,0.00,0.00,0,0.23,,,,,0,0.00,3.38,2.62,0.77,0.08,0.00,
Patrick Peterson,PIT,33,LCB,17,16,0.12,0.00,0.00,0,0.65,,,,,0,0.00,2.47,2.00,0.47,0.00,0.00,
A'Shawn Robinson,NYG,28,DL,17,13,0.00,0.00,0.00,0,0.12,,,,,0,0.00,3.65,2.00,1.65,0.35,0.06,
AJ Terrell,ATL,25,CB,17,17,0.00,0.00,0.00,0,0.65,,,,,0,0.00,2.65,2.00,0.65,0.24,0.00,
Jaylon Jones,IND,21,CB,17,10,0.00,0.00,0.00,0,0.29,,,,,0,0.00,2.59,1.94,0.65,0.06,0.00,
Fabian Moreau,DEN,29,CB,16,11,0.06,0.56,0.00,9,0.44,,,,,0,0.00,2.88,2.06,0.81,0.06,0.00,
Keanu Neal,PIT,28,SS,9,8,0.11,3.56,0.00,32,0.22,0.00,0.00,1,0,0,0.00,5.56,3.67,1.89,0.11,0.00,
Carrington Valentine,GNB,22,CB,17,12,0.00,0.00,0.00,0,0.53,0.00,0.00,1,50,0,0.00,2.59,1.94,0.65,0.00,0.00,
Jimmie Ward,HOU,32,S,10,10,0.10,0.00,0.00,0,0.30,0.10,0.00,0,0,0,0.00,5.00,3.30,1.70,0.00,0.00,
Sydney Brown,PHI,23,S,14,6,0.07,7.07,0.07,99,0.21,0.07,0.00,0,0,0,0.00,3.21,2.29,0.93,0.07,0.00,
Eddie Jackson,CHI,30,FS,12,12,0.08,2.25,0.00,27,0.42,,,,,0,0.00,3.08,2.67,0.42,0.00,0.00,
Joey Porter Jr.,PIT,23,CB,17,11,0.06,0.00,0.00,0,0.59,,,,,0,0.00,2.53,1.88,0.65,0.06,0.00,
Levi Wallace,PIT,28,CB,16,9,0.13,0.00,0.00,0,0.69,,,,,0,0.00,2.38,2.00,0.38,0.00,0.00,
Chamarri Conner,KAN,23,DB,17,7,0.06,0.24,0.00,4,0.06,,,,,0,0.00,2.12,1.82,0.29,0.12,0.00,
Tre Herndon,JAX,27,CB,16,4,0.00,0.00,0.00,0,0.56,0.06,0.00,0,0,0,0.00,2.88,1.94,0.94,0.06,0.19,
Cole Holcomb,PIT,27,LB,8,8,0.00,0.00,0.00,0,0.25,0.25,0.00,1,0,0,0.00,6.75,3.88,2.88,0.50,0.25,
Jaylon Johnson*,CHI,24,DB,14,14,0.29,4.64,0.07,39,0.71,0.07,0.07,0,0,0,0.00,2.57,2.21,0.36,0.07,0.00,
Julius Brents,IND,23,CB,9,8,0.11,0.00,0.00,0,0.67,0.11,0.00,1,0,0,0.00,4.78,3.33,1.44,0.00,0.00,
Troy Hill,CAR,32,CB,16,3,0.06,3.81,0.06,61,0.38,0.06,0.00,0,0,0,0.00,3.00,1.88,1.13,0.19,0.00,
Rodney Thomas II,IND,25,S,17,15,0.12,0.29,0.00,5,0.24,,,,,0,0.00,2.00,1.76,0.24,0.00,0.00,
Tavierre Thomas,HOU,27,CB,9,5,0.00,0.00,0.00,0,0.11,0.22,0.00,0,0,0,0.00,5.67,3.33,2.33,0.22,0.00,
Denzel Ward*,CLE,26,CB,13,11,0.15,1.54,0.00,20,0.85,0.08,0.00,0,0,0,0.00,2.62,2.31,0.31,0.08,0.00,
Shaquill Griffin,2TM,28,CB-RCB,13,7,0.08,0.00,0.00,0,0.38,,,,,0,0.00,3.00,2.23,0.77,0.00,0.00,
Antonio Hamilton,ARI,30,CB,14,9,0.07,0.00,0.00,0,0.79,0.00,0.07,0,0,0,0.00,2.86,2.07,0.79,0.00,0.00,
Tre Avery,TEN,26,CB,15,2,0.00,0.00,0.00,0,0.13,,,,,0,0.00,2.20,1.87,0.33,0.13,0.00,
Darrell Baker,IND,25,CB,14,6,0.00,0.00,0.00,0,0.50,,,,,0,0.00,2.50,2.00,0.50,0.00,0.00,
Corey Ballentine,GNB,27,CB,14,6,0.07,0.00,0.00,0,0.50,,,,,0,0.00,3.07,2.00,1.07,0.00,0.00,
Michael Jackson,SEA,26,CB,17,4,0.00,0.00,0.00,0,0.29,,,,,0,0.00,2.00,1.65,0.35,0.12,0.00,
Jack Jones,2TM,26,CB-DB,12,3,0.17,4.08,0.17,33,0.42,,,,,0,0.00,3.08,2.33,0.75,0.08,0.08,
Marcus Peters,LVR,30,RCB,12,12,0.08,6.25,0.08,75,0.42,,,,,0,0.00,3.58,2.33,1.25,0.08,0.00,
Jamien Sherwood,NYJ,23,LB,17,3,0.00,0.00,0.00,0,0.06,0.06,0.00,0,0,0,0.00,2.71,1.65,1.06,0.18,0.00,
Derek Stingley Jr.,HOU,22,CB,11,11,0.45,1.55,0.00,14,1.18,,,,,0,0.00,3.55,2.55,1.00,0.09,0.00,
Malik Hooker,DAL,27,S,16,15,0.06,0.00,0.00,0,0.19,0.06,0.00,1,0,0,0.00,3.13,1.69,1.44,0.06,0.00,
Bryan Cook,KAN,24,S,12,12,0.08,0.75,0.00,9,0.17,0.00,0.00,2,59,1,0.00,3.50,2.17,1.33,0.08,0.00,
DeAndre Houston-Carson,2TM,30,S-SS,13,5,0.15,1.00,0.00,13,0.38,0.00,0.00,1,0,0,0.00,3.15,2.00,1.15,0.08,0.00,
Damarri Mathis,DEN,24,CB,17,6,0.00,0.00,0.00,0,0.06,,,,,0,0.00,2.06,1.53,0.53,0.12,0.00,
Jalen Mills,NWE,29,DB,17,8,0.00,0.00,0.00,0,0.06,0.06,0.00,0,0,0,0.00,2.65,1.53,1.12,0.06,0.06,
